part_id,part_type,material,part_name,spec,uom,unit_cost_usd,supplier,lead_time_days
PRT-000210,Beam,Oak Wood,Oak Wood Beam 900x200x40mm,L=900mm;W=200mm;T=40mm,EA,6.85,Supplier EcoMaterials,13
PRT-000211,Panel,Birch Plywood,Birch Plywood Panel 1800x40x30mm,L=1800mm;W=40mm;T=30mm,EA,2.66,Supplier GlassLab,17
PRT-000212,Screw,Steel,Steel Screw M10x30,Dia=10mm;Len=30mm,EA,0.1,Supplier FinishesPlus,25
PRT-000213,Screw,Steel,Steel Screw M5x25,Dia=5mm;Len=25mm,EA,0.04,Supplier PlastiCraft,9
PRT-000214,Beam,Oak Wood,Oak Wood Beam 600x400x30mm,L=600mm;W=400mm;T=30mm,EA,4.52,Supplier EcoMaterials,22
PRT-000215,Glass Top,Tempered Glass,Tempered Glass Glass Top 1000x600mm,L=1000mm;W=600mm,EA,29.58,Supplier HardwareHouse,23
PRT-000216,Paint Can,Paint,Paint Paint Can 1L,Volume=1L,EA,4.71,Supplier TimberCo,33
PRT-000217,Washer,Stainless Steel,Stainless Steel Washer M6,Dia=6mm,EA,0.02,Supplier HardwareHouse,25
PRT-000218,Shelf,Walnut Wood,Walnut Wood Shelf 1000x80x8mm,L=1000mm;W=80mm;T=8mm,EA,5.73,Supplier TimberCo,28
PRT-000219,Washer,Steel,Steel Washer M6,Dia=6mm,EA,0.02,Supplier HardwareHouse,21
PRT-000220,Nut,Steel,Steel Nut M4,Dia=4mm,EA,0.01,Supplier MetalWorks,26
PRT-000221,Drawer Front,Pine Wood,Pine Wood Drawer Front 900x200x40mm,L=900mm;W=200mm;T=40mm,EA,2.91,Supplier TimberCo,3
PRT-000222,Bracket,Steel,Steel Bracket,,EA,3.46,Supplier GlassLab,14
PRT-000223,Drawer Front,Walnut Wood,Walnut Wood Drawer Front 900x200x20mm,L=900mm;W=200mm;T=20mm,EA,8.53,Supplier PrimeSupply,14
PRT-000224,Hinge,Steel,Steel Hinge,,EA,10.85,Supplier TimberCo,17
PRT-000225,Bolt,Steel,Steel Bolt M5x16,Dia=5mm;Len=16mm,EA,0.07,Supplier FastenPro,4
PRT-000226,Washer,Stainless Steel,Stainless Steel Washer M5,Dia=5mm,EA,0.04,Supplier FinishesPlus,6
PRT-000227,Feet Pad,Steel,Steel Feet Pad,,EA,3.82,Supplier GlassLab,18
PRT-000228,Beam,Oak Wood,Oak Wood Beam 600x200x50mm,L=600mm;W=200mm;T=50mm,EA,3.5,Supplier HardwareHouse,28
PRT-000229,Beam,Walnut Wood,Walnut Wood Beam 800x100x30mm,L=800mm;W=100mm;T=30mm,EA,3.94,Supplier PrimeSupply,6
PRT-000230,Shelf,MDF,MDF Shelf 2000x150x40mm,L=2000mm;W=150mm;T=40mm,EA,2.14,Supplier HardwareHouse,26
PRT-000231,Washer,Steel,Steel Washer M5,Dia=5mm,EA,0.01,Supplier PrimeSupply,11
PRT-000232,Backboard,Pine Wood,Pine Wood Backboard 1000x120x30mm,L=1000mm;W=120mm;T=30mm,EA,1.37,Supplier FastenPro,23
PRT-000233,Washer,Steel,Steel Washer M4,Dia=4mm,EA,0.02,Supplier HardwareHouse,8
PRT-000234,Panel,Oak Wood,Oak Wood Panel 500x300x30mm,L=500mm;W=300mm;T=30mm,EA,4.16,Supplier EcoMaterials,29
PRT-000235,Washer,Steel,Steel Washer M8,Dia=8mm,EA,0.05,Supplier GlassLab,25
PRT-000236,Slider,Steel,Steel Slider,,EA,12.55,Supplier FastenPro,19
PRT-000237,Drawer Front,Oak Wood,Oak Wood Drawer Front 400x120x18mm,L=400mm;W=120mm;T=18mm,EA,4.95,Supplier GlassLab,30
PRT-000238,Hinge,ABS Plastic,ABS Plastic Hinge,,EA,8.99,Supplier PlastiCraft,9
PRT-000239,Screw,Steel,Steel Screw M5x50,Dia=5mm;Len=50mm,EA,0.04,Supplier HardwareHouse,27
PRT-000240,Caster Wheel,Aluminum,Aluminum Caster Wheel,,EA,9.3,Supplier UpholsteryHub,16
PRT-000241,Drawer Front,Walnut Wood,Walnut Wood Drawer Front 500x100x15mm,L=500mm;W=100mm;T=15mm,EA,7.24,Supplier PlastiCraft,13
PRT-000242,Leg,Bamboo,Bamboo Leg 400x600x30mm,L=400mm;W=600mm;T=30mm,EA,5.45,Supplier HardwareHouse,16
PRT-000243,Leg,Pine Wood,Pine Wood Leg 300x100x18mm,L=300mm;W=100mm;T=18mm,EA,1.83,Supplier UpholsteryHub,19
PRT-000244,Glue Bottle,Glue,Glue Glue Bottle 1L,Volume=1L,EA,2.86,Supplier GlassLab,6
PRT-000245,Bolt,Steel,Steel Bolt M3x50,Dia=3mm;Len=50mm,EA,0.08,Supplier FinishesPlus,8
PRT-000246,Panel,Birch Plywood,Birch Plywood Panel 800x40x25mm,L=800mm;W=40mm;T=25mm,EA,2.74,Supplier GlassLab,27
PRT-000247,Screw,Steel,Steel Screw M5x30,Dia=5mm;Len=30mm,EA,0.1,Supplier FinishesPlus,28
PRT-000248,Panel,Walnut Wood,Walnut Wood Panel 500x60x12mm,L=500mm;W=60mm;T=12mm,EA,2.58,Supplier GlassLab,33
PRT-000249,Handle,Polypropylene,Polypropylene Handle,,EA,3.8,Supplier FastenPro,12
PRT-000250,Backboard,Oak Wood,Oak Wood Backboard 600x120x30mm,L=600mm;W=120mm;T=30mm,EA,4.7,Supplier PrimeSupply,11
PRT-000251,Screw,Steel,Steel Screw M6x30,Dia=6mm;Len=30mm,EA,0.04,Supplier MetalWorks,7
PRT-000252,Shelf,Pine Wood,Pine Wood Shelf 1200x800x25mm,L=1200mm;W=800mm;T=25mm,EA,4.4,Supplier MetalWorks,11
PRT-000253,Rail,Bamboo,Bamboo Rail 900x100x18mm,L=900mm;W=100mm;T=18mm,EA,3.41,Supplier PlastiCraft,30
PRT-000254,Drawer Front,Pine Wood,Pine Wood Drawer Front 200x60x30mm,L=200mm;W=60mm;T=30mm,EA,1.6,Supplier UpholsteryHub,14
PRT-000255,Rail,Birch Plywood,Birch Plywood Rail 300x120x20mm,L=300mm;W=120mm;T=20mm,EA,2.12,Supplier UpholsteryHub,16
PRT-000256,Leg,Bamboo,Bamboo Leg 800x200x20mm,L=800mm;W=200mm;T=20mm,EA,4.97,Supplier PrimeSupply,9
PRT-000257,Panel,Pine Wood,Pine Wood Panel 500x120x18mm,L=500mm;W=120mm;T=18mm,EA,2.68,Supplier FinishesPlus,28
PRT-000258,Panel,Pine Wood,Pine Wood Panel 1200x150x18mm,L=1200mm;W=150mm;T=18mm,EA,2.32,Supplier FinishesPlus,19
PRT-000259,Leg,MDF,MDF Leg 1200x100x8mm,L=1200mm;W=100mm;T=8mm,EA,1.93,Supplier HardwareHouse,11
PRT-000260,Washer,Stainless Steel,Stainless Steel Washer M8,Dia=8mm,EA,0.01,Supplier HardwareHouse,29
PRT-000261,Screw,Steel,Steel Screw M5x20,Dia=5mm;Len=20mm,EA,0.05,Supplier HardwareHouse,29
PRT-000262,Beam,Pine Wood,Pine Wood Beam 700x120x50mm,L=700mm;W=120mm;T=50mm,EA,1.71,Supplier FastenPro,33
PRT-000263,Handle,ABS Plastic,ABS Plastic Handle,,EA,3.72,Supplier MetalWorks,14
PRT-000264,Panel,MDF,MDF Panel 600x40x15mm,L=600mm;W=40mm;T=15mm,EA,1.24,Supplier UpholsteryHub,25
PRT-000265,Panel,Pine Wood,Pine Wood Panel 1400x400x20mm,L=1400mm;W=400mm;T=20mm,EA,4.52,Supplier UpholsteryHub,9
PRT-000266,Feet Pad,ABS Plastic,ABS Plastic Feet Pad,,EA,1.62,Supplier EcoMaterials,7
PRT-000267,Leg,Oak Wood,Oak Wood Leg 600x40x18mm,L=600mm;W=40mm;T=18mm,EA,5.22,Supplier MetalWorks,11
PRT-000268,Backboard,Oak Wood,Oak Wood Backboard 700x150x18mm,L=700mm;W=150mm;T=18mm,EA,4.2,Supplier MetalWorks,28
PRT-000269,Screw,Steel,Steel Screw M6x30,Dia=6mm;Len=30mm,EA,0.14,Supplier EcoMaterials,28
PRT-000270,Washer,Stainless Steel,Stainless Steel Washer M4,Dia=4mm,EA,0.02,Supplier UpholsteryHub,10
PRT-000271,Beam,Oak Wood,Oak Wood Beam 200x200x25mm,L=200mm;W=200mm;T=25mm,EA,3.24,Supplier PlastiCraft,6
PRT-000272,Washer,Stainless Steel,Stainless Steel Washer M3,Dia=3mm,EA,0.02,Supplier UpholsteryHub,17
PRT-000273,Beam,Walnut Wood,Walnut Wood Beam 600x200x20mm,L=600mm;W=200mm;T=20mm,EA,5.76,Supplier HardwareHouse,10
PRT-000274,Hinge,ABS Plastic,ABS Plastic Hinge,,EA,2.76,Supplier GlassLab,4
PRT-000275,Foam Insert,Foam,Foam Foam Insert 900x80x50mm,L=900mm;W=80mm;T=50mm,EA,2.85,Supplier PlastiCraft,10
PRT-000276,Shelf,Oak Wood,Oak Wood Shelf 1200x120x8mm,L=1200mm;W=120mm;T=8mm,EA,3.11,Supplier FastenPro,8
PRT-000277,Panel,Bamboo,Bamboo Panel 600x150x18mm,L=600mm;W=150mm;T=18mm,EA,2.84,Supplier EcoMaterials,31
PRT-000278,Foam Insert,Foam,Foam Foam Insert 500x120x40mm,L=500mm;W=120mm;T=40mm,EA,2.13,Supplier FastenPro,27
PRT-000279,Bracket,ABS Plastic,ABS Plastic Bracket,,EA,3.19,Supplier FinishesPlus,9
PRT-000280,Screw,Steel,Steel Screw M5x25,Dia=5mm;Len=25mm,EA,0.03,Supplier TimberCo,2
PRT-000281,Shelf,Pine Wood,Pine Wood Shelf 2000x80x8mm,L=2000mm;W=80mm;T=8mm,EA,1.77,Supplier TimberCo,23
PRT-000282,Beam,MDF,MDF Beam 500x200x12mm,L=500mm;W=200mm;T=12mm,EA,1.64,Supplier UpholsteryHub,8
PRT-000283,Handle,Polypropylene,Polypropylene Handle,,EA,3.43,Supplier FastenPro,5
PRT-000284,Bolt,Steel,Steel Bolt M5x40,Dia=5mm;Len=40mm,EA,0.15,Supplier MetalWorks,18
PRT-000285,Screw,Steel,Steel Screw M5x16,Dia=5mm;Len=16mm,EA,0.03,Supplier PrimeSupply,10
PRT-000286,Shelf,MDF,MDF Shelf 400x80x20mm,L=400mm;W=80mm;T=20mm,EA,1.24,Supplier FastenPro,9
PRT-000287,Backboard,Walnut Wood,Walnut Wood Backboard 1000x600x30mm,L=1000mm;W=600mm;T=30mm,EA,8.04,Supplier FinishesPlus,16
PRT-000288,Backboard,Pine Wood,Pine Wood Backboard 1800x40x15mm,L=1800mm;W=40mm;T=15mm,EA,1.76,Supplier PrimeSupply,21
PRT-000289,Shelf,Bamboo,Bamboo Shelf 700x150x12mm,L=700mm;W=150mm;T=12mm,EA,3.07,Supplier HardwareHouse,5
PRT-000290,Backboard,MDF,MDF Backboard 1600x500x30mm,L=1600mm;W=500mm;T=30mm,EA,2.64,Supplier MetalWorks,3
PRT-000291,Screw,Steel,Steel Screw M10x10,Dia=10mm;Len=10mm,EA,0.06,Supplier MetalWorks,8
PRT-000292,Panel,Walnut Wood,Walnut Wood Panel 300x400x25mm,L=300mm;W=400mm;T=25mm,EA,3.89,Supplier PlastiCraft,29
PRT-000293,Rail,Oak Wood,Oak Wood Rail 1400x500x20mm,L=1400mm;W=500mm;T=20mm,EA,6.46,Supplier GlassLab,31
PRT-000294,Foam Insert,Foam,Foam Foam Insert 600x60x60mm,L=600mm;W=60mm;T=60mm,EA,1.49,Supplier FinishesPlus,20
PRT-000295,Shelf,MDF,MDF Shelf 600x80x8mm,L=600mm;W=80mm;T=8mm,EA,1.15,Supplier PlastiCraft,34
PRT-000296,Leg,Oak Wood,Oak Wood Leg 1800x40x15mm,L=1800mm;W=40mm;T=15mm,EA,5.54,Supplier FinishesPlus,5
PRT-000297,Fabric Cover,Fabric,Fabric Fabric Cover 800x800mm,L=800mm;W=800mm,EA,4.41,Supplier FastenPro,24
PRT-000298,Shelf,Oak Wood,Oak Wood Shelf 500x100x12mm,L=500mm;W=100mm;T=12mm,EA,4.05,Supplier UpholsteryHub,31
PRT-000299,Drawer Front,Birch Plywood,Birch Plywood Drawer Front 800x100x18mm,L=800mm;W=100mm;T=18mm,EA,3.39,Supplier MetalWorks,13
PRT-000300,Bolt,Brass,Brass Bolt M5x40,Dia=5mm;Len=40mm,EA,0.11,Supplier TimberCo,26
PRT-000301,Rail,MDF,MDF Rail 1800x200x50mm,L=1800mm;W=200mm;T=50mm,EA,3.66,Supplier EcoMaterials,19
PRT-000302,Leg,Pine Wood,Pine Wood Leg 800x200x30mm,L=800mm;W=200mm;T=30mm,EA,2.79,Supplier HardwareHouse,33
PRT-000303,Shelf,Pine Wood,Pine Wood Shelf 1400x400x25mm,L=1400mm;W=400mm;T=25mm,EA,3.27,Supplier MetalWorks,17
PRT-000304,Slider,Stainless Steel,Stainless Steel Slider,,EA,8.01,Supplier GlassLab,27
PRT-000305,Screw,Stainless Steel,Stainless Steel Screw M5x30,Dia=5mm;Len=30mm,EA,0.07,Supplier HardwareHouse,12
PRT-000306,Screw,Steel,Steel Screw M6x12,Dia=6mm;Len=12mm,EA,0.06,Supplier FastenPro,33
PRT-000307,Panel,Bamboo,Bamboo Panel 900x60x30mm,L=900mm;W=60mm;T=30mm,EA,3.72,Supplier UpholsteryHub,25
PRT-000308,Slider,Aluminum,Aluminum Slider,,EA,9.5,Supplier PrimeSupply,29
PRT-000309,Hinge,Polypropylene,Polypropylene Hinge,,EA,3.65,Supplier GlassLab,27
PRT-000310,Feet Pad,Stainless Steel,Stainless Steel Feet Pad,,EA,4.22,Supplier EcoMaterials,13
PRT-000311,Panel,Pine Wood,Pine Wood Panel 600x60x30mm,L=600mm;W=60mm;T=30mm,EA,1.48,Supplier EcoMaterials,20
PRT-000312,Shelf,Oak Wood,Oak Wood Shelf 1200x120x20mm,L=1200mm;W=120mm;T=20mm,EA,5.22,Supplier PrimeSupply,20
PRT-000313,Glass Top,Tempered Glass,Tempered Glass Glass Top 800x600mm,L=800mm;W=600mm,EA,27.83,Supplier FinishesPlus,4
PRT-000314,Paint Can,Paint,Paint Paint Can 1L,Volume=1L,EA,4.38,Supplier GlassLab,28
PRT-000315,Nut,Brass,Brass Nut M3,Dia=3mm,EA,0.02,Supplier UpholsteryHub,32
PRT-000316,Washer,Steel,Steel Washer M5,Dia=5mm,EA,0.01,Supplier PlastiCraft,31
PRT-000317,Slider,ABS Plastic,ABS Plastic Slider,,EA,3.93,Supplier EcoMaterials,4
PRT-000318,Bracket,Aluminum,Aluminum Bracket,,EA,5.81,Supplier HardwareHouse,11
PRT-000319,Screw,Stainless Steel,Stainless Steel Screw M3x20,Dia=3mm;Len=20mm,EA,0.03,Supplier EcoMaterials,30
PRT-000320,Shelf,MDF,MDF Shelf 500x100x20mm,L=500mm;W=100mm;T=20mm,EA,1.6,Supplier UpholsteryHub,31
PRT-000321,Feet Pad,Steel,Steel Feet Pad,,EA,4.23,Supplier FinishesPlus,22
PRT-000322,Backboard,MDF,MDF Backboard 1400x120x40mm,L=1400mm;W=120mm;T=40mm,EA,1.95,Supplier FinishesPlus,7
PRT-000323,Bracket,Steel,Steel Bracket,,EA,10.83,Supplier GlassLab,18
PRT-000324,Beam,Birch Plywood,Birch Plywood Beam 1200x60x15mm,L=1200mm;W=60mm;T=15mm,EA,2.69,Supplier PlastiCraft,32
PRT-000325,Caster Wheel,Aluminum,Aluminum Caster Wheel,,EA,25.13,Supplier FinishesPlus,16
PRT-000326,Leg,Walnut Wood,Walnut Wood Leg 500x60x18mm,L=500mm;W=60mm;T=18mm,EA,7.7,Supplier HardwareHouse,17
PRT-000327,Hinge,ABS Plastic,ABS Plastic Hinge,,EA,2.35,Supplier PlastiCraft,31
PRT-000328,Nut,Stainless Steel,Stainless Steel Nut M5,Dia=5mm,EA,0.02,Supplier MetalWorks,19
PRT-000329,Varnish Can,Varnish,Varnish Varnish Can 1L,Volume=1L,EA,3.55,Supplier HardwareHouse,18
PRT-000330,Bracket,Steel,Steel Bracket,,EA,2.87,Supplier HardwareHouse,2
PRT-000331,Shelf,Pine Wood,Pine Wood Shelf 500x500x8mm,L=500mm;W=500mm;T=8mm,EA,1.94,Supplier HardwareHouse,20
PRT-000332,Hinge,ABS Plastic,ABS Plastic Hinge,,EA,4.1,Supplier FastenPro,9
PRT-000333,Caster Wheel,Steel,Steel Caster Wheel,,EA,5.16,Supplier UpholsteryHub,9
PRT-000334,Screw,Brass,Brass Screw M8x25,Dia=8mm;Len=25mm,EA,0.12,Supplier GlassLab,24
PRT-000335,Nut,Steel,Steel Nut M3,Dia=3mm,EA,0.01,Supplier GlassLab,22
PRT-000336,Rail,Pine Wood,Pine Wood Rail 1600x100x40mm,L=1600mm;W=100mm;T=40mm,EA,4.45,Supplier GlassLab,20
PRT-000337,Rail,Birch Plywood,Birch Plywood Rail 1000x60x20mm,L=1000mm;W=60mm;T=20mm,EA,4.19,Supplier HardwareHouse,4
PRT-000338,Beam,Oak Wood,Oak Wood Beam 600x300x12mm,L=600mm;W=300mm;T=12mm,EA,3.92,Supplier EcoMaterials,34
PRT-000339,Shelf,Walnut Wood,Walnut Wood Shelf 500x80x18mm,L=500mm;W=80mm;T=18mm,EA,5.78,Supplier FinishesPlus,3
PRT-000340,Slider,Acrylic,Acrylic Slider,,EA,6.32,Supplier GlassLab,13
PRT-000341,Leg,Pine Wood,Pine Wood Leg 600x400x8mm,L=600mm;W=400mm;T=8mm,EA,2.87,Supplier FastenPro,24
PRT-000342,Panel,Pine Wood,Pine Wood Panel 1200x200x15mm,L=1200mm;W=200mm;T=15mm,EA,1.47,Supplier FastenPro,8
PRT-000343,Screw,Steel,Steel Screw M6x12,Dia=6mm;Len=12mm,EA,0.03,Supplier MetalWorks,27
PRT-000344,Screw,Steel,Steel Screw M8x30,Dia=8mm;Len=30mm,EA,0.12,Supplier MetalWorks,25
PRT-000345,Beam,Pine Wood,Pine Wood Beam 800x60x12mm,L=800mm;W=60mm;T=12mm,EA,1.79,Supplier EcoMaterials,26
PRT-000346,Backboard,Oak Wood,Oak Wood Backboard 500x150x20mm,L=500mm;W=150mm;T=20mm,EA,2.76,Supplier TimberCo,3
PRT-000347,Glass Top,Tempered Glass,Tempered Glass Glass Top 1600x600mm,L=1600mm;W=600mm,EA,40.51,Supplier EcoMaterials,29
PRT-000348,Washer,Steel,Steel Washer M6,Dia=6mm,EA,0.03,Supplier FinishesPlus,17
PRT-000349,Panel,MDF,MDF Panel 1200x40x25mm,L=1200mm;W=40mm;T=25mm,EA,1.46,Supplier MetalWorks,6
PRT-000350,Screw,Steel,Steel Screw M5x25,Dia=5mm;Len=25mm,EA,0.03,Supplier FastenPro,22
PRT-000351,Screw,Steel,Steel Screw M4x40,Dia=4mm;Len=40mm,EA,0.11,Supplier PlastiCraft,29
PRT-000352,Bolt,Steel,Steel Bolt M6x30,Dia=6mm;Len=30mm,EA,0.15,Supplier TimberCo,18
PRT-000353,Screw,Steel,Steel Screw M4x10,Dia=4mm;Len=10mm,EA,0.06,Supplier PlastiCraft,7
PRT-000354,Caster Wheel,ABS Plastic,ABS Plastic Caster Wheel,,EA,12.55,Supplier PrimeSupply,17
PRT-000355,Caster Wheel,Aluminum,Aluminum Caster Wheel,,EA,9.18,Supplier EcoMaterials,14
PRT-000356,Beam,Birch Plywood,Birch Plywood Beam 800x100x15mm,L=800mm;W=100mm;T=15mm,EA,3.26,Supplier TimberCo,12
PRT-000357,Bolt,Steel,Steel Bolt M8x20,Dia=8mm;Len=20mm,EA,0.07,Supplier EcoMaterials,32
PRT-000358,Handle,ABS Plastic,ABS Plastic Handle,,EA,6.62,Supplier TimberCo,29
PRT-000359,Backboard,Bamboo,Bamboo Backboard 1400x200x30mm,L=1400mm;W=200mm;T=30mm,EA,4.18,Supplier GlassLab,26
PRT-000360,Beam,Bamboo,Bamboo Beam 1200x60x15mm,L=1200mm;W=60mm;T=15mm,EA,3.45,Supplier TimberCo,27
PRT-000361,Beam,Bamboo,Bamboo Beam 600x800x25mm,L=600mm;W=800mm;T=25mm,EA,3.47,Supplier MetalWorks,13
PRT-000362,Panel,Pine Wood,Pine Wood Panel 900x300x40mm,L=900mm;W=300mm;T=40mm,EA,3.81,Supplier TimberCo,32
PRT-000363,Shelf,Bamboo,Bamboo Shelf 1600x60x40mm,L=1600mm;W=60mm;T=40mm,EA,4.42,Supplier TimberCo,25
PRT-000364,Slider,Aluminum,Aluminum Slider,,EA,10.5,Supplier PrimeSupply,14
PRT-000365,Caster Wheel,Polypropylene,Polypropylene Caster Wheel,,EA,5.79,Supplier FinishesPlus,27
PRT-000366,Shelf,Pine Wood,Pine Wood Shelf 500x150x15mm,L=500mm;W=150mm;T=15mm,EA,3.05,Supplier MetalWorks,5
PRT-000367,Drawer Front,MDF,MDF Drawer Front 200x120x20mm,L=200mm;W=120mm;T=20mm,EA,1.62,Supplier PlastiCraft,11
PRT-000368,Glass Top,Tempered Glass,Tempered Glass Glass Top 1600x800mm,L=1600mm;W=800mm,EA,41.64,Supplier FastenPro,27
PRT-000369,Screw,Steel,Steel Screw M5x50,Dia=5mm;Len=50mm,EA,0.08,Supplier HardwareHouse,14
PRT-000370,Panel,MDF,MDF Panel 2000x120x15mm,L=2000mm;W=120mm;T=15mm,EA,2.35,Supplier GlassLab,24
PRT-000371,Screw,Steel,Steel Screw M4x20,Dia=4mm;Len=20mm,EA,0.03,Supplier UpholsteryHub,10
PRT-000372,Foam Insert,Foam,Foam Foam Insert 200x300x50mm,L=200mm;W=300mm;T=50mm,EA,1.97,Supplier TimberCo,9
PRT-000373,Washer,Steel,Steel Washer M8,Dia=8mm,EA,0.02,Supplier FinishesPlus,30
PRT-000374,Bolt,Steel,Steel Bolt M4x50,Dia=4mm;Len=50mm,EA,0.1,Supplier FinishesPlus,31
PRT-000375,Shelf,Bamboo,Bamboo Shelf 300x150x12mm,L=300mm;W=150mm;T=12mm,EA,2.59,Supplier PlastiCraft,27
PRT-000376,Panel,Oak Wood,Oak Wood Panel 500x400x12mm,L=500mm;W=400mm;T=12mm,EA,6.14,Supplier FinishesPlus,30
PRT-000377,Hinge,ABS Plastic,ABS Plastic Hinge,,EA,2.33,Supplier MetalWorks,2
PRT-000378,Washer,Stainless Steel,Stainless Steel Washer M8,Dia=8mm,EA,0.04,Supplier TimberCo,4
PRT-000379,Bracket,ABS Plastic,ABS Plastic Bracket,,EA,2.73,Supplier FastenPro,2
PRT-000380,Screw,Steel,Steel Screw M8x20,Dia=8mm;Len=20mm,EA,0.04,Supplier EcoMaterials,5
PRT-000381,Screw,Steel,Steel Screw M8x25,Dia=8mm;Len=25mm,EA,0.06,Supplier FinishesPlus,33
PRT-000382,Hinge,Steel,Steel Hinge,,EA,12.48,Supplier GlassLab,14
PRT-000383,Foam Insert,Foam,Foam Foam Insert 600x800x80mm,L=600mm;W=800mm;T=80mm,EA,2.68,Supplier TimberCo,15
PRT-000384,Washer,Steel,Steel Washer M4,Dia=4mm,EA,0.01,Supplier GlassLab,9
PRT-000385,Screw,Steel,Steel Screw M4x50,Dia=4mm;Len=50mm,EA,0.07,Supplier UpholsteryHub,23
PRT-000386,Hinge,Polypropylene,Polypropylene Hinge,,EA,4.13,Supplier PlastiCraft,4
PRT-000387,Screw,Steel,Steel Screw M3x50,Dia=3mm;Len=50mm,EA,0.06,Supplier PrimeSupply,15
PRT-000388,Beam,MDF,MDF Beam 900x60x50mm,L=900mm;W=60mm;T=50mm,EA,2.05,Supplier UpholsteryHub,32
PRT-000389,Slider,Aluminum,Aluminum Slider,,EA,8.92,Supplier UpholsteryHub,23
PRT-000390,Beam,Birch Plywood,Birch Plywood Beam 300x40x25mm,L=300mm;W=40mm;T=25mm,EA,3.3,Supplier FastenPro,25
PRT-000391,Bracket,Polypropylene,Polypropylene Bracket,,EA,1.9,Supplier TimberCo,29
PRT-000392,Washer,Brass,Brass Washer M8,Dia=8mm,EA,0.04,Supplier HardwareHouse,14
PRT-000393,Shelf,Pine Wood,Pine Wood Shelf 1400x40x12mm,L=1400mm;W=40mm;T=12mm,EA,1.93,Supplier HardwareHouse,9
PRT-000394,Shelf,Bamboo,Bamboo Shelf 1200x120x12mm,L=1200mm;W=120mm;T=12mm,EA,3.14,Supplier PrimeSupply,34
PRT-000395,Rail,Pine Wood,Pine Wood Rail 1000x100x25mm,L=1000mm;W=100mm;T=25mm,EA,2.17,Supplier GlassLab,6
PRT-000396,Panel,Pine Wood,Pine Wood Panel 1400x400x25mm,L=1400mm;W=400mm;T=25mm,EA,3.02,Supplier GlassLab,8
PRT-000397,Drawer Front,MDF,MDF Drawer Front 2000x120x30mm,L=2000mm;W=120mm;T=30mm,EA,2.38,Supplier MetalWorks,34
PRT-000398,Shelf,Birch Plywood,Birch Plywood Shelf 700x120x18mm,L=700mm;W=120mm;T=18mm,EA,3.1,Supplier PlastiCraft,2
PRT-000399,Bracket,ABS Plastic,ABS Plastic Bracket,,EA,1.53,Supplier MetalWorks,7
PRT-000400,Shelf,Birch Plywood,Birch Plywood Shelf 1600x120x15mm,L=1600mm;W=120mm;T=15mm,EA,2.64,Supplier FinishesPlus,33
PRT-000401,Caster Wheel,Polypropylene,Polypropylene Caster Wheel,,EA,3.36,Supplier FinishesPlus,10
PRT-000402,Caster Wheel,Polypropylene,Polypropylene Caster Wheel,,EA,5.73,Supplier TimberCo,14
PRT-000403,Shelf,Pine Wood,Pine Wood Shelf 1400x500x18mm,L=1400mm;W=500mm;T=18mm,EA,5.22,Supplier TimberCo,16
PRT-000404,Bolt,Steel,Steel Bolt M4x20,Dia=4mm;Len=20mm,EA,0.07,Supplier GlassLab,19
PRT-000405,Panel,MDF,MDF Panel 400x120x25mm,L=400mm;W=120mm;T=25mm,EA,1.68,Supplier PrimeSupply,15
PRT-000406,Bolt,Steel,Steel Bolt M8x40,Dia=8mm;Len=40mm,EA,0.1,Supplier HardwareHouse,29
PRT-000407,Bolt,Steel,Steel Bolt M4x25,Dia=4mm;Len=25mm,EA,0.05,Supplier FinishesPlus,28
PRT-000408,Rail,Pine Wood,Pine Wood Rail 1400x150x25mm,L=1400mm;W=150mm;T=25mm,EA,2.43,Supplier UpholsteryHub,15
PRT-000409,Fabric Cover,Leather,Leather Fabric Cover 1200x700mm,L=1200mm;W=700mm,EA,15.22,Supplier EcoMaterials,7
PRT-000410,Bracket,Polypropylene,Polypropylene Bracket,,EA,2.35,Supplier MetalWorks,26
PRT-000411,Hinge,Steel,Steel Hinge,,EA,8.42,Supplier EcoMaterials,17
PRT-000412,Shelf,Pine Wood,Pine Wood Shelf 1200x100x20mm,L=1200mm;W=100mm;T=20mm,EA,1.78,Supplier PlastiCraft,22
PRT-000413,Backboard,MDF,MDF Backboard 1000x300x15mm,L=1000mm;W=300mm;T=15mm,EA,1.53,Supplier PlastiCraft,31
PRT-000414,Foam Insert,Foam,Foam Foam Insert 1000x500x60mm,L=1000mm;W=500mm;T=60mm,EA,3.13,Supplier HardwareHouse,13
PRT-000415,Screw,Steel,Steel Screw M5x25,Dia=5mm;Len=25mm,EA,0.06,Supplier UpholsteryHub,14
PRT-000416,Shelf,Birch Plywood,Birch Plywood Shelf 1200x150x25mm,L=1200mm;W=150mm;T=25mm,EA,2.02,Supplier FastenPro,10
PRT-000417,Backboard,MDF,MDF Backboard 1600x80x8mm,L=1600mm;W=80mm;T=8mm,EA,2.15,Supplier MetalWorks,30
PRT-000418,Nut,Stainless Steel,Stainless Steel Nut M6,Dia=6mm,EA,0.04,Supplier TimberCo,16
PRT-000419,Washer,Steel,Steel Washer M6,Dia=6mm,EA,0.01,Supplier FastenPro,28
PRT-000420,Screw,Brass,Brass Screw M6x30,Dia=6mm;Len=30mm,EA,0.15,Supplier TimberCo,5
PRT-000421,Hinge,Acrylic,Acrylic Hinge,,EA,6.69,Supplier GlassLab,32
